Player,Matches,Minutes,90s,Goals,Assists,xG,xA,Shots,Chances_Created,Big_Chances_Created,Pass_Accuracy,Successful_Passes,Accurate_Long_Balls,Long_Ball_Accuracy,Successful_Crosses,Cross_Accuracy,Successful_Dribbles,Dribble_Success,Duels_Won,Duel_Win_Pct,Aerial_Duels_Won,Aerial_Win_Pct,Touches,Touches_Opp_Box,Dispossessed,Fouls_Won,Defensive_Contributions,Tackles,Interceptions,Blocked_Shots,Recoveries,Poss_Won_Final_3rd,Dribbled_Past,Clearances,Clean_Sheets,Goals_Conceded_On_Pitch,xGA_On_Pitch,Yellow_Cards,Red_Cards,Goals_Per90,Assists_Per90,Shots_Per90,Chances_Created_Per90,Successful_Crosses_Per90,Successful_Dribbles_Per90,Duels_Won_Per90,Tackles_Per90,Interceptions_Per90,Recoveries_Per90,Clearances_Per90,Attack_Score,Defense_Score,Possession_Score,Discipline_Score,Readiness_Index
Baba Rahman,25,1920,21.3,2,2,1.43,1.87,14,13,4,78.8,733,33,35.5,9,19.1,5,31.2,78,51.3,23,53.5,1508,38,8,21,114,29,19,5,69,3,11,61,9,18,22.0,3,0,0.09389671361502347,0.09389671361502347,0.6572769953051643,0.6103286384976525,0.4225352112676056,0.2347417840375587,3.6619718309859155,1.3615023474178403,0.892018779342723,3.2394366197183095,2.863849765258216,0.0,1.0,1.0,1.0,70.0
Derrick Kohn,29,1899,21.1,1,2,2.15,3.78,28,25,5,76.3,425,32,36.8,31,27.0,11,42.3,67,44.1,6,50.0,1138,33,23,16,87,34,8,5,88,5,9,40,3,32,29.9,5,1,0.04739336492890995,0.0947867298578199,1.3270142180094786,1.1848341232227488,1.4691943127962084,0.5213270142180094,3.1753554502369665,1.6113744075829384,0.3791469194312796,4.170616113744075,1.895734597156398,1.0,0.0,0.0,0.0,30.0
